spectra,site,site_name,state,plot,species,height,age,height_age,measurement_type,measurement,sample_name,sample_year,sample_type,instrumentation,calibration,wavelengths,column_units,project,pi,affiliation
BH10_ACRU_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,ACRU,T,NA,T,LC,REFL,BH10_ACRU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_ACSM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,ACSM,B,NA,B,LC,REFL,BH10_ACSM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_ACSM_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,ACSM,M,NA,M,LC,REFL,BH10_ACSM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_ACSM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,ACSM,T,NA,T,LC,REFL,BH10_ACSM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_FRAM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,FRAM,B,NA,B,LC,REFL,BH10_FRAM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_FRAM_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,FRAM,M,NA,M,LC,REFL,BH10_FRAM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH10_FRAM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH10,FRAM,T,NA,T,LC,REFL,BH10_FRAM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_ACRU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,ACRU,B,NA,B,LC,REFL,BH11_ACRU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_ACRU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,ACRU,M,NA,M,LC,REFL,BH11_ACRU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_OSVI_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,OSVI,M,NA,M,LC,REFL,BH11_OSVI_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_BN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,B,N,BN,LC,REFL,BH11_PIST_BN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_BO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,B,O,BO,LC,REFL,BH11_PIST_BO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_MN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,M,N,MN,LC,REFL,BH11_PIST_MN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_MO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,M,O,MO,LC,REFL,BH11_PIST_MO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_TN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,T,N,TN,LC,REFL,BH11_PIST_TN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PIST_TO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PIST,T,O,TO,LC,REFL,BH11_PIST_TO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PODE_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PODE,M,NA,M,LC,REFL,BH11_PODE_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_PODE_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,PODE,T,NA,T,LC,REFL,BH11_PODE_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_ULAM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,ULAM,B,NA,B,LC,REFL,BH11_ULAM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH11_ULAM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH11,ULAM,T,NA,T,LC,REFL,BH11_ULAM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_ACRU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,ACRU,B,NA,B,LC,REFL,BH12_ACRU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_ACRU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,ACRU,M,NA,M,LC,REFL,BH12_ACRU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_QUAL_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,QUAL,M,NA,M,LC,REFL,BH12_QUAL_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_QURU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,QURU,B,NA,B,LC,REFL,BH12_QURU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_QURU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,QURU,M,NA,M,LC,REFL,BH12_QURU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_QURU_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,QURU,T,NA,T,LC,REFL,BH12_QURU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_TIAM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,TIAM,B,NA,B,LC,REFL,BH12_TIAM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_TIAM_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,TIAM,M,NA,M,LC,REFL,BH12_TIAM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH12_TIAM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH12,TIAM,T,NA,T,LC,REFL,BH12_TIAM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_CAOV_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,CAOV,B,NA,B,LC,REFL,BH14_CAOV_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_CAOV_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,CAOV,M,NA,M,LC,REFL,BH14_CAOV_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_CAOV_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,CAOV,T,NA,T,LC,REFL,BH14_CAOV_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_BN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,B,N,BN,LC,REFL,BH14_PIRE_BN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_BO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,B,O,BO,LC,REFL,BH14_PIRE_BO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_MN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,M,N,MN,LC,REFL,BH14_PIRE_MN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_MO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,M,O,MO,LC,REFL,BH14_PIRE_MO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_TN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,T,N,TN,LC,REFL,BH14_PIRE_TN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIRE_TO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIRE,T,O,TO,LC,REFL,BH14_PIRE_TO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_BN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,B,N,BN,LC,REFL,BH14_PIST_BN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_BO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,B,O,BO,LC,REFL,BH14_PIST_BO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_MN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,M,N,MN,LC,REFL,BH14_PIST_MN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_MO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,M,O,MO,LC,REFL,BH14_PIST_MO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_TN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,T,N,TN,LC,REFL,BH14_PIST_TN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_PIST_TO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,PIST,T,O,TO,LC,REFL,BH14_PIST_TO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QUAL_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QUAL,B,NA,B,LC,REFL,BH14_QUAL_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QUAL_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QUAL,M,NA,M,LC,REFL,BH14_QUAL_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QUAL_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QUAL,T,NA,T,LC,REFL,BH14_QUAL_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QURU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QURU,B,NA,B,LC,REFL,BH14_QURU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QURU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QURU,M,NA,M,LC,REFL,BH14_QURU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH14_QURU_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH14,QURU,T,NA,T,LC,REFL,BH14_QURU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_CAOV_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,CAOV,B,NA,B,LC,REFL,BH15_CAOV_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_CAOV_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,CAOV,M,NA,M,LC,REFL,BH15_CAOV_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_CAOV_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,CAOV,T,NA,T,LC,REFL,BH15_CAOV_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_BN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,B,N,BN,LC,REFL,BH15_PIST_BN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_BO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,B,O,BO,LC,REFL,BH15_PIST_BO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_MN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,M,N,MN,LC,REFL,BH15_PIST_MN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_MO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,M,O,MO,LC,REFL,BH15_PIST_MO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_TN_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,T,N,TN,LC,REFL,BH15_PIST_TN,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_PIST_TO_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,PIST,T,O,TO,LC,REFL,BH15_PIST_TO,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QUAL_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QUAL,B,NA,B,LC,REFL,BH15_QUAL_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QUAL_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QUAL,M,NA,M,LC,REFL,BH15_QUAL_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QUAL_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QUAL,T,NA,T,LC,REFL,BH15_QUAL_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QURU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QURU,B,NA,B,LC,REFL,BH15_QURU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QURU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QURU,M,NA,M,LC,REFL,BH15_QURU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH15_QURU_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH15,QURU,T,NA,T,LC,REFL,BH15_QURU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACRU_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACRU,B,NA,B,LC,REFL,BH16_ACRU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACRU_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACRU,M,NA,M,LC,REFL,BH16_ACRU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACRU_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACRU,T,NA,T,LC,REFL,BH16_ACRU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACSM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACSM,B,NA,B,LC,REFL,BH16_ACSM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACSM_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACSM,M,NA,M,LC,REFL,BH16_ACSM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ACSM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ACSM,T,NA,T,LC,REFL,BH16_ACSM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_CAOV_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,CAOV,B,NA,B,LC,REFL,BH16_CAOV_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_CAOV_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,CAOV,M,NA,M,LC,REFL,BH16_CAOV_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_CAOV_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,CAOV,T,NA,T,LC,REFL,BH16_CAOV_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_FRPE_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,FRPE,B,NA,B,LC,REFL,BH16_FRPE_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_FRPE_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,FRPE,M,NA,M,LC,REFL,BH16_FRPE_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_FRPE_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,FRPE,T,NA,T,LC,REFL,BH16_FRPE_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_PRSE_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,PRSE,B,NA,B,LC,REFL,BH16_PRSE_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_PRSE_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,PRSE,M,NA,M,LC,REFL,BH16_PRSE_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_PRSE_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,PRSE,T,NA,T,LC,REFL,BH16_PRSE_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ULAM_B_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ULAM,B,NA,B,LC,REFL,BH16_ULAM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ULAM_M_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ULAM,M,NA,M,LC,REFL,BH16_ULAM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BH16_ULAM_T_LC_REFL,BH,Baraboo Hills,Wisconsin,BH16,ULAM,T,NA,T,LC,REFL,BH16_ULAM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_ACSM_B_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,ACSM,B,NA,B,LC,REFL,BI01_ACSM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_ACSM_M_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,ACSM,M,NA,M,LC,REFL,BI01_ACSM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_ACSM_T_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,ACSM,T,NA,T,LC,REFL,BI01_ACSM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_QURU_B_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,QURU,B,NA,B,LC,REFL,BI01_QURU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_QURU_M_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,QURU,M,NA,M,LC,REFL,BI01_QURU_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_QURU_T_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,QURU,T,NA,T,LC,REFL,BI01_QURU_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_TIAM_B_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,TIAM,B,NA,B,LC,REFL,BI01_TIAM_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_TIAM_M_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,TIAM,M,NA,M,LC,REFL,BI01_TIAM_M,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI01_TIAM_T_LC_REFL,BI,Blackhawk Island,Wisconsin,BI01,TIAM,T,NA,T,LC,REFL,BI01_TIAM_T,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
BI02_ACRU_B_LC_REFL,BI,Blackhawk Island,Wisconsin,BI02,ACRU,B,NA,B,LC,REFL,BI02_ACRU_B,2008,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
